text,label
Sadie is a beautiful black swan who lives on the pond with Prince Bertie the Frog. She finds a crown and puts it on her elegant head.,0
"Prince Boris sees her, and believes that she is a princess who has been turned into a swan - in the same way that Prince Bertie was turned into a frog.",0
"One summer’s day, the royal nanny wheeled a push chair from the palace, down the garden path to the pond.",0
The little girl sitting in the chair wore a golden crown on top of her curly head.,0
"Her name was Princess Poppy. When they arrived, Nanny released the little princess from the straps of her push chair and gave her a bag of the day-before-yesterday’s bread.",0
"All the ducks and geese could spot a crumb from a mile away, and they were soon flapping and squawking in front of the princess, and racing and pecking each other.",0
"Sadie, the solitary black swan, sat aloof from the unseemly squabble, and admired the crown on the little princess’ head.",0
"Oh my,",1
"said Sadie out loud to no one in particular,",0
I am so pleased to live on a royal pond.,1
The people who come here are such a cut above!,1
"Princess Poppy began to toddle along the edge of the pond, the royal nanny followed close behind her, tapping on her her mobile phone as she went.",0
The princess clambered up onto a little pier that led out into the water.,0
"The nanny was texting, ""CU @ eight by the bike sheds."" And she did not notice when the princess’ little foot trod on some duck weed.",0
"Prince Bertie the frog saw this and he croaked,",0
Uh oh!,1
Because he knew that the weed was very slippery.,0
"And then, oh dear, she did slip on the weed, and then...",0
Splash!,0
Princess Poppy was in the water.,0
She couldn’t swim and she just went straight down to the bottom like a bomb.,0
"The water wasn’t deep, but it went over the princess’ head.",0
"Bertie dived in after her but he was just a frog, and all he could do was say,",0
Hold your breath little princess!,1
"The nanny, still holding her mobile phone, jumped into the water, and in a few seconds she had pulled the princess up off the bottom of the pond and placed her on the pier.",0
"The princess said,",0
"I’m the king of the castle, and you’re the dirty rascal.",1
Then Colin the carp scooped the crown onto his head and tried it for size.,0
"Now I’m just as important as that snooty His Royal Highness Prince Bertie the Frog,",1
he said.,0
"But after a while, his head began to hurt, so he stopped wearing the crown.",0
"Little Tim the Tadpole said,",0
"Bertie, why don’t you put the crown on?",1
"After all, you’re the only true prince in this pond.",1
"Unfortunately, Bertie couldn’t wear the crown, because although it was size one and a half, just big enough for a small child, it was still too heavy for a frog.",0
"But it did fit just perfectly onto the elegant head of Sadie the Swan. Soon, she was swanning around the pond like a true princess.",0
All the ducklings and goslings gazed at her in admiration.,0
"In a dark corner of the pond, Colin the carp muttered,",0
"It’s bad enough putting up with a frog who thinks he’s a prince, but there’s nothing so annoying as a swan who’s got airs and graces.",1
"And as it happened, Sadie was already wondering if in fact she was a true princess.",0
"Bertie,",1
"she said as she admired her own reflection,",0
"Do you think it’s at all possible that the wicked queen turned me into a swan, just like she turned you into a frog?’ Bertie did not want to disappoint Sadie, so he replied, ",0
"Well, maybe...",1
"Later that day, Prince Boris came down to the pond.",0
"He set up a little chair on the end of the pier, took out a rod, and cast a fishing line into the water.",0
"Bertie warned all the fish to stay away from his hook, even though there was a fat tempting worm on it.",0
Prince Boris had flowing blond locks of hair.,0
"Bertie always considered that he looked like a girl, but the girls all thought he was extremely handsome, and Sadie agreed with them.",0
"She glided over to the pier, and placed herself where he could not fail to notice her.",0
Boris looked at her in amazement.,0
"He had never seen a swan with a crown on her head before, but he had heard tales of beautiful princesses turned into swans.",0
"he said,",0
you are the most beautiful creature I have ever set eyes upon.,1
And Sadie fluttered her feathers with pleasure at the compliment.,0
"You black beauty,",1
he went on.,0
Could it be...,1
could it be that you are a princess?,1
A beautiful African princess.,1
"Why, I’m sure you must be.",1
The wicked queen is always turning people into pondlife.,1
It’s even rumoured that she converted that snotty Prince Bertie into a slug or a toad.,1
He’s certainly not been seen or heard of since she got angry with him.,1
Now listen carefully my darling princess swan.,1
This is the longest day of the year.,1
"Tonight, at sunset, I will come down to the pond, kiss your beautiful red beak, and turn you back into a princess.",1
Wait for me my lovely.,1
But now I must hurry and buy a diamond ring for our engagement.,1
"Till tonight, Adieu!",1
Adieu!,1
"On hearing these words, Sadie almost swooned with excitement.",0
"Don’t listen to him,",1
said Bertie.,0
Boris is a well known love-rat.,1
He always cheated at football.,1
He bullied small princelings.,1
He copied my homework.,1
He tried to pinch Princess Beatrice off me.,1
He has no honour.,1
He’ll stop at nothing.,1
"Sadie, you must listen to me, you can do so much better than Boris!",1
But Sadie didn’t listen to Bertie because she had been swept off her wings and was already dreaming of her royal wedding to Prince Boris the Brave. That evening Sadie was waiting for her prince.,0
She sat in the middle of the pond with her crown glinting red and gold in the dying rays of the sun.,0
"Boris came down to the pond, sat down by the bank, and pulled on some enormous green galoshes that went up above his knees.",0
"Then he started to wade into the the water towards Sadie, but just as he got near, Colin the carp swam under his foot and tripped him up.",0
Boris fell over into the water and emerged spluttering and with green slime in his blond hair.,0
"Bertie laughed, but Sadie did not hear him.",0
"She wanted to say,",0
"Darling, do not worry, for I will love you forever and day, slime and all.",1
Boris stumbled towards her.,0
She gently closed her eyes.,0
"she thought,",0
Now I will be restored to my true self.,1
Princess Sadie.,1
He held her head in his hands and kissed her red beak...,0
And nothing happened.,0
So he kissed her again...,0
And still nothing happened.,0
"Oh bother,",1
"he said, and tried one last time.",0
"But still, Sadie was a Swan.",0
"Ah, terribly sorry,",1
"said Boris,",0
But it seems that you aren’t a princess after all.,1
Just a silly old swan.,1
Well I’m just glad nobody saw this little moonlight escapade.,1
"And with that, he turned around and started to wade back out of the pond.",0
"Oh Sadie,",1
"said Bertie, as he tried to comfort her.",0
I did try to warn you...,1
"but Sadie was disconsolate, which means more than just a bit sad.",0
She didn’t reply.,0
She cast the crown off her head into the water before sliding off to hide in the rushes.,0
"It’s alright for that rat, Boris,",1
she said to herself.,0
None of his friends saw him fall face down in the pond.,1
But all the pond life know what a fool I was made to look.,1
Oh the shame of it!,1
I will never live this down.,1
For two days she stayed put.,0
"Bertie brought her the tastiest slime on the pond, and the best bits of bread from Princess Poppy, but nothing would comfort her.",0
"Until, that is, three days later a handsome black swan came swooping in to land on the pond with a great...",0
Swooooooosh!,0
Sadie poked her head out of the rushes to see who the new arrival was.,0
"Ah,"" she said.",0
He looks rather nice.,0
"I think I’ll pop over and be the first to welcome him to our pond."" And I’m glad to say that very soon she had forgotten all about Prince Boris. But Colin the Carp kept the crown standing outside his home in the rocks on the bottom of the pond, just to show that he was the most important fish in the water.",0
"Download the audio (Right Click, Save As) Katie’s Great Aunt Chloe is coming to stay for Halloween. Unfortunately her Great Aunt always makes Katie embarrassed by being just too",0
witchy.,1
She can’t resist flying on her broomstick and doing other tricks that draw attention to the fact that the family are witches.,0
This story features incidental music by Gabriella and Jay. Story by Bertie. Read by Natasha. Duration twenty minutes.,0
"Proofread by Jana Elizabeth. Hello, this is Natasha, and I’m dropping by with a Halloween Story about our own Katie the Witch. I was just wondering, do you have any relatives that make you feel, well, just a bit embarrassed?",0
"You know, perhaps they dress in bad taste, or dance terribly at parties, or make awful jokes.",0
Katie had a relative a bit like that.,0
"Her name was Great Aunt Chloe, and you can meet her in this story.",0
"The trees were turning golden brown, the squirrels were busy burying conkers in the park, and the witches were getting ready for Halloween. For Katie’s mum, this was the busiest time of the year in her shop called the Magic Lantern. If you wanted to be a classy witch or a snazzy goblin, The Magic Lantern was the place to come and browse for a costume.",0
"Katie helped her mum cut out pumpkins, and at night, when the shop was closed, the door was guarded by ghoulish glowing faces.",0
"In the day, it was packed with mums and kids stocking up for Halloween. Many of them were from Katie’s School, which was holding a Halloween Ball. Jennie’s mum came into the shop to buy some Halloween Lights, and as she was paying she said to Katie’s mum:",0
Of course your daughter doesn’t have to dress up for the Halloween Ball. She can just go as herself.,1
And Katie’s mum fumed because she didn’t think that remark was meant as a compliment.,0
"In fact, Halloween was far from Katie’s favourite time of year.",0
It was the time when nobody would let her forget that she was a witch.,0
Even her best friend Isis asked her:,0
"Katie, what do witches actually do for Halloween?",1
"I mean, they don’t really fly around on broomsticks, right?",1
And Katie replied:,0
Don’t be silly.,1
Of course they don’t.,1
"But actually, that wasn’t strictly true.",0
"Katie knew at least one witch who liked to take her broomstick for a spin on Halloween. And unfortunately, that person was her Great Aunt Chloe. Great Aunt Chloe was the sister of Katie’s Grandma. But she was a very different sort of person.",0
Grandma was extremely polite and proper.,0
"Aunt Chloe, as everyone in the family knew, had been a bit of a wild witch in her youth.",0
She had been the first person to fly around the world on a broomstick.,0
"And she had been a member of The Red Sticks – a team of witches that did formation broom flying and death defying stunts, like loop the loop and vertical take-off.",0
"And although these days she did not do so much flying, she still liked to keep up the tradition on Halloween. People said that she had been extremely beautiful back in the old days, and she still was, in a witchy sort of way.",0
"And although it was good that she was proud of her magical heritage, it could also be a bit embarrassing for Katie and her mum who preferred to keep that sort of thing a bit hush hush.",0
Great Aunt Chloe had invited herself to come and stay.,0
And the time she had picked for her visit was the Halloween weekend.,0
Katie lay awake at night hoping that her Great Aunt would not do anything too embarrassing.,0
But she knew that she probably would.,0
"The school’s Halloween Ball went off just fine for Katie. One or two people – like Jennie and Jake – were nagging her to pull off a magic stunt or two, but most people just said how pretty she looked in her costume.",0
She was wearing a blue and yellow caftan with lots of magical signs embroidered on the collar and cuffs.,0
There was nothing too witchy about it at all.,0
"And everyone loved the pumpkin dance that she performed with Isis. This is how Katie and Isis did the pumpkin dance, to the song:",0
Don’t Be Scared of Halloween.,1
"Firstly, they held their hands out to the side, holding pumpkins in their palms like weighing scales, and they swayed at the waist.",0
"They did a tap step from left to right, then they moved their shoulders up and down, they did a full turn and swivelled their pumpkin hands.",0
"For the verse beginning Witch’s Love to Fly on Sticks, they imagined they were flying on broom sticks, flinging sweets with flicking gestures of their hands.",0
"Later on, when it was dark, the streets were full of excited kids going Trick or Treating. The little ones were all sugared up on sweets and shrieking like demons.",0
The older ones tried to help their parents keep the smaller ones in check.,0
"On the doorsteps of people’s houses, the kids screamed:",0
"Trick or Treat,",1
"and if the people were nice, they gave them sweets.",0
But Katie and Isis collected the best haul of sweets because they charmed everyone with their pumpkin dance.,0
Great Aunt Chloe came along with Katie and her mum.,0
She was wearing a black cloak and a pointed hat with red magical writing on it.,0
"Her eyes were covered with a mask, and she carried her broom stick in her hand.",0
"And although she blended into the general melee of weirdly dressed people, Katie could not help feeling anxious that she might do something just a bit embarrassing.",0
Two small kids ran past chanting:,0
Katie is a witch!,1
Katie is a witch!,1
"And Aunt Chloe said,",0
I don’t think that’s very nice.,1
"Oh I take no notice of little brats like them,",1
said Katie.,0
"They’re only small, and besides, they’ve scoffed too many sweets.",1
Aunt Chloe dismissed them with a shrug.,0
But then one of the kids turned around and threw something at Katie. Isis shrieked.,0
And Katie said:,0
Er what’s that?,1
It was a Goo Bomb – a new kind of nasty toy that exploded with gooy green slime.,0
"Poor Katie was covered in it, and her hair was all sticky.",0
HA HA!,1
Look at the ugly Slimy Witch!,1
shouted the kids.,0
But they weren’t so amused when Great Aunt Chloe raised her arm and pointed a lengthy index finger at them.,0
"No don’t, Aunt Chloe, Please!",1
pleaded Katie. But her Great Aunt was not listening.,0
A green beam shot out of her finger and zapped first one and then the other kid.,0
They both staggered backwards and sat down on a door step.,0
"When they tried to stand up, they couldn’t.",0
They were stuck there.,0
That will teach you to mess with a witch.,1
You can stay on the Naughty Step until I release you ....,1
which might be sometime next week if I am in a good mood.,1
"But on the other hand, I might just fly home and forget all about you.",1
Both the children started to cry and their mothers rushed over and tried to help them to stand.,0
"But try as they might, they couldn’t.",0
"People were staring at Great Aunt Chloe, and Katie, and her mum, and accusations were starting to fly around.",0
What have you done to our children?,1
demanded one of the mums.,0
"And Great Aunt Chloe said,",0
I haven’t done anything.,1
They are just naughty children.,1
They threw goo all over my niece.,1
"Katie was so embarrassed, she wished that the road would open up and swallow her.",0
"Then she remembered that she shouldn’t wish too hard for anything like that because, after all, she was a witch, and it could actually happen.",0
Katie’s mum pulled Chloe away from the crowd.,0
Please Aunt Chloe. Release them at once.,1
"In my day, children knew how to behave,",1
retorted Chloe.,0
"But if you don’t let them go now, there will be a terrible scene and people will boycott my shop and bully Katie at school.",1
"Oh all right then,",1
sighed Chloe. And she muttered the spell to unglue the two terrors from the step.,0
The naughty kids were able to stand.,0
Their parents were hugging them.,0
Nobody was quite sure what had happened.,0
But a few people suspected.,0
Katie was fuming with her Great Aunt as they walked home with a bucket full of sweets.,0
"It’s just awful,",1
she thought.,0
Now all the teasing and taunting about my family of witches is going to start all over again.,1
"She was glum when they got home, and went straight upstairs to sulk on her bed.",0
Her cat Solomon wasn’t there.,0
"I wish he hadn’t gone out tonight,",1
thought Katie.,0
There will be fireworks and they might scare the life out of him.,1
Soon she heard some cracks and bangs in the sky.,0
Oh NO!,1
"exclaimed Katie, and she ran out into the garden.",0
The sound was coming from somewhere up on the roof.,0
"She looked up and saw not Solomon, but Great Aunt Chloe standing astride her broomstick on the tiles.",0
A stream of red stars was pouring out of the back of her stick and she was waving her hat and screeching for all she was worth.,0
"Then she and her broomstick shot up into the sky, not quite vertically, but almost.",0
‘FZZZZZZZSHOOOOWOW!,0
"Wow, that’s cool flying,",1
thought Katie.,0
